Port_Record_ID,Port_ID,Port_Name,Country,Region,Terminal,Berth
PR00001,P001,Chennai,India,South Asia,Terminal-1,Berth-1
PR00002,P002,Mumbai,India,South Asia,Terminal-2,Berth-2
PR00003,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-3
PR00004,P004,Dubai,UAE,Middle East,Terminal-4,Berth-4
PR00005,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-5
PR00006,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-6
PR00007,P007,Los Angeles,USA,North America,Terminal-3,Berth-7
PR00008,P001,Chennai,India,South Asia,Terminal-4,Berth-8
PR00009,P002,Mumbai,India,South Asia,Terminal-1,Berth-9
PR00010,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-10
PR00011,P004,Dubai,UAE,Middle East,Terminal-3,Berth-11
PR00012,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-12
PR00013,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-13
PR00014,P007,Los Angeles,USA,North America,Terminal-2,Berth-14
PR00015,P001,Chennai,India,South Asia,Terminal-3,Berth-15
PR00016,P002,Mumbai,India,South Asia,Terminal-4,Berth-16
PR00017,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-17
PR00018,P004,Dubai,UAE,Middle East,Terminal-2,Berth-18
PR00019,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-1
PR00020,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-2
PR00021,P007,Los Angeles,USA,North America,Terminal-1,Berth-3
PR00022,P001,Chennai,India,South Asia,Terminal-2,Berth-4
PR00023,P002,Mumbai,India,South Asia,Terminal-3,Berth-5
PR00024,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-6
PR00025,P004,Dubai,UAE,Middle East,Terminal-1,Berth-7
PR00026,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-8
PR00027,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-9
PR00028,P007,Los Angeles,USA,North America,Terminal-4,Berth-10
PR00029,P001,Chennai,India,South Asia,Terminal-1,Berth-11
PR00030,P002,Mumbai,India,South Asia,Terminal-2,Berth-12
PR00031,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-13
PR00032,P004,Dubai,UAE,Middle East,Terminal-4,Berth-14
PR00033,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-15
PR00034,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-16
PR00035,P007,Los Angeles,USA,North America,Terminal-3,Berth-17
PR00036,P001,Chennai,India,South Asia,Terminal-4,Berth-18
PR00037,P002,Mumbai,India,South Asia,Terminal-1,Berth-1
PR00038,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-2
PR00039,P004,Dubai,UAE,Middle East,Terminal-3,Berth-3
PR00040,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-4
PR00041,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-5
PR00042,P007,Los Angeles,USA,North America,Terminal-2,Berth-6
PR00043,P001,Chennai,India,South Asia,Terminal-3,Berth-7
PR00044,P002,Mumbai,India,South Asia,Terminal-4,Berth-8
PR00045,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-9
PR00046,P004,Dubai,UAE,Middle East,Terminal-2,Berth-10
PR00047,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-11
PR00048,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-12
PR00049,P007,Los Angeles,USA,North America,Terminal-1,Berth-13
PR00050,P001,Chennai,India,South Asia,Terminal-2,Berth-14
PR00051,P002,Mumbai,India,South Asia,Terminal-3,Berth-15
PR00052,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-16
PR00053,P004,Dubai,UAE,Middle East,Terminal-1,Berth-17
PR00054,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-18
PR00055,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-1
PR00056,P007,Los Angeles,USA,North America,Terminal-4,Berth-2
PR00057,P001,Chennai,India,South Asia,Terminal-1,Berth-3
PR00058,P002,Mumbai,India,South Asia,Terminal-2,Berth-4
PR00059,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-5
PR00060,P004,Dubai,UAE,Middle East,Terminal-4,Berth-6
PR00061,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-7
PR00062,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-8
PR00063,P007,Los Angeles,USA,North America,Terminal-3,Berth-9
